2014-05-22 14:43:30,247 INFO | class_cie_con_mod | root | getting /accounts/AGerry/accounts tooks 0:00:01.294266
2014-05-22 14:43:30,247 INFO | class_cie_con_mod | root | HTTP-200 successful request
2014-05-22 14:43:32,620 INFO | class_cie_con_mod | root | getting /accounts/AGerry tooks 0:00:02.372732
2014-05-22 14:43:32,620 INFO | class_cie_con_mod | root | HTTP-200 successful request
2014-05-22 14:43:33,647 INFO | class_cie_con_mod | root | getting /accounts/AGerry/subscriptions tooks 0:00:01.025489
2014-05-22 14:43:33,647 INFO | class_cie_con_mod | root | HTTP-200 successful request
2014-05-22 14:43:34,740 INFO | class_cie_con_mod | root | getting /accounts/AGerry_EICC tooks 0:00:01.092365
2014-05-22 14:43:34,740 INFO | class_cie_con_mod | root | HTTP-200 successful request
2014-05-22 14:43:36,113 INFO | class_cie_con_mod | root | getting /accounts/AGerry_EICC/subscriptions tooks 0:00:01.372909
2014-05-22 14:43:36,113 INFO | class_cie_con_mod | root | HTTP-200 successful request
2014-05-22 14:43:37,567 INFO | class_cie_con_mod | root | getting /accounts/AGerry_VPN tooks 0:00:01.453702
2014-05-22 14:43:37,567 INFO | class_cie_con_mod | root | HTTP-200 successful request
2014-05-22 14:43:38,821 INFO | class_cie_con_mod | root | getting /accounts/AGerry_VPN/subscriptions tooks 0:00:01.253200
2014-05-22 14:43:38,821 INFO | class_cie_con_mod | root | HTTP-200 successful request
2014-05-22 14:43:38,841 INFO | _internal | werkzeug | 127.0.0.1 - - [22/May/2014 14:43:38] "GET /accounts HTTP/1.1" 200 -
2014-05-22 14:43:40,105 INFO | class_cie_con_mod | root | getting /accounts/AGerry/accounts tooks 0:00:01.259243
2014-05-22 14:43:40,105 INFO | class_cie_con_mod | root | HTTP-200 successful request
2014-05-22 14:43:41,840 INFO | class_cie_con_mod | root | getting /accounts/AGerry tooks 0:00:01.734730
2014-05-22 14:43:41,840 INFO | class_cie_con_mod | root | HTTP-200 successful request
